crop,scheme,top1_label,top1_score,clarkii_rank,clarkii_score,clarkii_is_top1,full_dist
cand_t34_f0136,A,Amphiprion percula,0.7886,4,0.0095,False,"[[""Amphiprion percula"", 0.7886], [""Amphiprion ocellaris"", 0.1057], [""Pomacentrus moluccensis"", 0.0823], [""Amphiprion clarkii"", 0.0095], [""Chromis chrysura"", 0.0082], [""Sea anemone"", 0.0045], [""Dascyllus reticulatus"", 0.0012], [""Coral reef"", 0.0]]"
cand_t95_f0307,A,Amphiprion percula,0.4262,7,0.0032,False,"[[""Amphiprion percula"", 0.4262], [""Pomacentrus moluccensis"", 0.3586], [""Amphiprion ocellaris"", 0.1374], [""Chromis chrysura"", 0.0646], [""Dascyllus reticulatus"", 0.0051], [""Sea anemone"", 0.005], [""Amphiprion clarkii"", 0.0032], [""Coral reef"", 0.0]]"
cand_t71_f0244,A,Amphiprion percula,0.8302,4,0.0041,False,"[[""Amphiprion percula"", 0.8302], [""Amphiprion ocellaris"", 0.0902], [""Pomacentrus moluccensis"", 0.0721], [""Amphiprion clarkii"", 0.0041], [""Chromis chrysura"", 0.0016], [""Dascyllus reticulatus"", 0.0012], [""Sea anemone"", 0.0005], [""Coral reef"", 0.0]]"
cand_t118_f0396,A,Pomacentrus moluccensis,0.6494,6,0.0053,False,"[[""Pomacentrus moluccensis"", 0.6494], [""Amphiprion percula"", 0.1288], [""Dascyllus reticulatus"", 0.0973], [""Amphiprion ocellaris"", 0.0792], [""Chromis chrysura"", 0.0386], [""Amphiprion clarkii"", 0.0053], [""Sea anemone"", 0.0013], [""Coral reef"", 0.0002]]"
cand_t34_f0136,B,Sea anemone,0.4075,7,0.0143,False,"[[""Sea anemone"", 0.4075], [""Pacific chromis"", 0.3631], [""Lemon damselfish"", 0.0725], [""Common clownfish"", 0.0649], [""Reticulated dascyllus"", 0.0414], [""Orange clownfish"", 0.0323], [""Clark's anemonefish"", 0.0143], [""Coral reef"", 0.0041]]"
cand_t95_f0307,B,Pacific chromis,0.7845,7,0.0027,False,"[[""Pacific chromis"", 0.7845], [""Reticulated dascyllus"", 0.0622], [""Lemon damselfish"", 0.0554], [""Sea anemone"", 0.0393], [""Orange clownfish"", 0.0296], [""Common clownfish"", 0.026], [""Clark's anemonefish"", 0.0027], [""Coral reef"", 0.0003]]"
cand_t71_f0244,B,Pacific chromis,0.5429,6,0.0165,False,"[[""Pacific chromis"", 0.5429], [""Common clownfish"", 0.1565], [""Lemon damselfish"", 0.0926], [""Reticulated dascyllus"", 0.0884], [""Orange clownfish"", 0.088], [""Clark's anemonefish"", 0.0165], [""Sea anemone"", 0.0141], [""Coral reef"", 0.0011]]"
cand_t118_f0396,B,Reticulated dascyllus,0.5725,7,0.0005,False,"[[""Reticulated dascyllus"", 0.5725], [""Pacific chromis"", 0.3766], [""Lemon damselfish"", 0.0374], [""Common clownfish"", 0.0092], [""Sea anemone"", 0.0026], [""Orange clownfish"", 0.0009], [""Clark's anemonefish"", 0.0005], [""Coral reef"", 0.0003]]"
